"","subjectkey","freq_Lotto","freq_OthLotA","freq_OthLotB","freq_Scratch","freq_VSbet","freq_VHorse","freq_Casino","freq_Slots","freq_Table","freq_PVei","freq_OVei","freq_FHorse","freq_Private","freq_Cruise","freq_PPaf","freq_OPaf","freq_PFor","freq_OFor","freq_Other","diverity","diverity_No_lottery"
"1745","1903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1746","1904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1747","1905",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3
"1748","1906",1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,14,13
"1749","1907",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,5
"1750","1908",1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,10,9
"1751","1909",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"1752","1910",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1753","1911",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1754","1912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1755","1913",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1756","1914",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"1757","1915",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1758","1916",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2
"1759","1917",1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,6
"1760","1918",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3
"1761","1919",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
