"","subjectkey","sum_freq_all_No_lottery"
"445","478",-0.233768219795464
"446","479",-0.734516512121553
"447","480",1.34174258561198
"448","481",-1.02014518133475
"449","482",-0.295983295789679
"450","483",-1.02014518133475
"451","484",0.199032282341826
"452","485",-1.02014518133475
"453","486",-1.02014518133475
"454","487",-1.02014518133475
"455","488",-1.02014518133475
"456","489",-0.294215466692599
"457","490",-0.294215466692599
"458","491",-0.131995756845454
"459","492",-1.02014518133475
"460","493",-1.02014518133475
"461","494",1.02398453724646
"462","496",-1.02014518133475
"463","497",-0.840784100959782
"464","498",-1.02014518133475
"465","499",-1.02014518133475
"466","500",-1.02014518133475
"467","501",-0.840784100959782
"468","502",-1.02014518133475
"469","503",-0.778637005638495
"470","504",-1.02014518133475
"471","505",-0.840784100959782
"472","506",-0.131995756845454
"473","507",-0.840784100959782
"474","508",-1.02014518133475
"475","509",1.3785430902389
"476","510",-0.367308958229335
"477","511",-1.02014518133475
"478","512",0.285865120639454
"479","513",-1.02014518133475
"480","514",0.492161494846683
"481","515",-1.02014518133475
"482","516",1.97970440190724
"483","518",-0.751657882649372
"484","519",-0.311356837220418
"485","520",-0.840784100959782
"486","521",-0.52802906631221
"487","524",-1.02014518133475
"488","525",-0.840784100959782
"489","526",-1.02014518133475
"490","527",-0.840784100959782
"491","528",-0.840784100959782
"492","529",-1.02014518133475
"493","530",-1.02014518133475
"494","531",1.5142147962957
"495","532",-0.294215466692599
"496","533",-1.02014518133475
"497","534",-0.0900184397131734
"498","535",-1.02014518133475
"499","536",-1.02014518133475
"500","537",-1.02014518133475
"501","538",-0.678564391112636
"502","540",1.17826538799307
"503","541",-1.02014518133475
"504","542",-0.734516512121553
"505","543",-1.02014518133475
"506","544",-0.311356837220418
"507","545",-1.02014518133475
"508","546",-0.840784100959782
"509","547",-0.533486051793309
"510","548",10.481169365856
"511","549",-1.02014518133475
"512","550",-1.02014518133475
"513","551",-1.02014518133475
"514","552",-0.840784100959782
"515","553",-1.02014518133475
"516","554",0.312800414471718
"517","555",-0.678564391112636
"518","557",-0.678564391112636
"519","558",-0.840784100959782
"520","559",-0.458203005636825
"521","560",-0.678564391112636
"522","561",1.5489606938891
"523","563",-1.02014518133475
"524","564",-1.02014518133475
"525","565",-1.02014518133475
"526","566",-0.225259026571197
"527","567",-1.02014518133475
"528","568",-1.02014518133475
"529","569",1.04646853434737
"530","570",-1.02014518133475
"531","571",-1.02014518133475
"532","572",-0.857925471487601
"533","573",1.86882808536644
"534","574",-1.02014518133475
"535","575",0.329941784999537
"536","576",2.01071449502722
"537","577",-0.473576547067564
"538","578",-1.02014518133475
"539","579",-0.840784100959782
"540","580",2.67523510317935
"541","581",-0.913877592496518
"542","582",-1.02014518133475
"543","583",0.175302292321019
"544","584",1.14011684933142
"545","585",-0.415713745606865
"546","586",-0.254508539315357
"547","587",-0.857925471487601
"548","588",-1.02014518133475
"549","589",-0.678564391112636
"550","590",0.60672581005118
"551","591",0.197900648329938
"552","593",-1.02014518133475
"553","594",-1.02014518133475
"554","595",-1.02014518133475
"555","596",0.894723701582627
"556","597",-0.334041288188363
"557","598",-0.840784100959782
"558","599",-1.02014518133475
"559","600",2.58405464375207
"560","601",-1.02014518133475
"561","602",-0.840784100959782
"562","603",-1.02014518133475
"563","604",-0.840784100959782
"564","606",-1.02014518133475
"565","607",-1.02014518133475
"566","608",-0.913877592496518
"567","609",-1.02014518133475
"568","610",13.56049797875
"569","611",-0.734516512121553
"570","613",-0.0994808448868953
"571","614",-0.59927592526353
"572","615",-0.619425674377658
"573","616",-0.913877592496518
"574","617",-0.781645384224804
"575","618",-1.02014518133475
"576","619",-1.02014518133475
"577","620",-1.02014518133475
"578","621",-1.02014518133475
"579","622",-0.778637005638495
"580","623",-0.294215466692599
"581","624",0.199032282341826
"582","625",-1.02014518133475
"583","627",-0.840784100959782
"584","628",-1.02014518133475
"585","629",1.68931587917249
"586","630",2.14172157127161
"587","631",-0.840784100959782
"588","632",-1.02014518133475
"589","633",-0.840784100959782
"590","634",-1.02014518133475
"591","635",-1.02014518133475
"592","636",-1.02014518133475
"593","637",-0.840784100959782
"594","638",1.47818874762776
"595","640",0.40414255410941
"596","641",0.192443662848839
"597","642",-1.02014518133475
"598","643",-0.840784100959782
"599","644",-0.857925471487601
"600","645",-0.840784100959782
"601","646",-1.02014518133475
"602","647",-1.02014518133475
"603","648",-0.840784100959782
"604","649",-1.02014518133475
"605","650",2.22133231410865
"606","651",-1.02014518133475
"607","652",0.0748705648933643
"608","653",-1.02014518133475
"609","654",-0.154733240330109
"610","655",-0.2363526652319
"611","656",3.39681377935715
"612","657",-1.02014518133475
"613","658",-0.345481390211184
"614","660",1.28554416447223
