"","subjectkey_w2","single.factor","two.factor.f1","two.factor.f2","bifactor.f1","bifactor.f2","bifactor.g","two.factor.re.f1","two.factor.re.f2","three.factor.f1","three.factor.f2","three.factor.f3"
"312",652,1.59557838897878,1.78307532813727,1.30900473988415,-0.00403580183435254,-0.194567980550049,1.33589519672621,1.3624082851065,1.05494060296456,1.78957185124428,1.36020404545722,0.952219377274173
"313",654,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"314",655,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"315",657,0.614478040869906,0.595358926589245,0.650647276582065,-0.00990929458344021,0.30851413149334,0.283082786025296,0.55536258545643,0.707913401678619,0.608553079142087,0.691282003252951,0.463968035206754
"316",659,1.01354604552934,0.93249219834829,1.02736469242386,-0.0138847387720649,0.0068456156225151,0.465423928660539,0.588124537267456,0.749622565965795,0.944270283227661,1.08263892383152,0.723306542074549
"317",660,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"318",662,2.04532965363754,1.97751077202384,1.8500525269716,-0.153392364878445,1.12952029226491,2.16343426018675,1.76268943462924,1.8222276021673,1.98644416565182,1.92345639943749,1.38136658774045
"319",666,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"320",669,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"321",670,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"322",672,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"323",673,0.836400649814422,0.733743357092637,0.804048274783697,-0.0141457962674147,0.452376670820072,0.475528285196046,0.688499221760004,0.877206203822833,0.751447553912748,0.777604626836829,0.755570327437595
"324",674,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"325",681,-0.108296584258064,-0.0786110559224212,-0.084923126708688,-0.0031365028308302,-0.128831915827052,-0.327890914807156,-0.0863884103723655,-0.102485783235457,-0.0709706491440895,-0.0757134937987526,-0.0624920595663229
"326",688,0.614478040869906,0.595358926589245,0.650647276582065,-0.00990929458344021,0.30851413149334,0.283082786025296,0.55536258545643,0.707913401678619,0.608553079142087,0.691282003252951,0.463968035206754
