"","subjectkey","annual_expenses"
"1339",1781,150
"1340",1782,300
"1341",1783,96
"1342",1784,180
"1343",1785,30
"1344",1786,10
"1345",1787,30
"1346",1788,30
"1347",1789,48
"1348",1791,300
"1349",1792,240
"1350",1793,10
"1351",1795,1
"1352",1796,10
"1353",1799,260
"1354",1800,240
"1355",1801,5337.30568095586
"1356",1802,160
"1357",1803,100
"1358",1804,20
"1359",1806,500
"1360",1808,30
"1361",1809,350
"1362",1810,200
"1363",1811,60
"1364",1814,250
"1365",1815,25
"1366",1816,180
"1367",1817,60
"1368",1819,55
"1369",1820,60
"1370",1821,100
"1371",1822,960
"1372",1823,30
"1373",1824,400
"1374",1825,120
"1375",1827,40
"1376",1829,420
"1377",1830,100
"1378",1833,936
"1379",1834,720
"1380",1837,600
"1381",1838,50
"1382",1839,10
"1383",1840,50
"1384",1841,180
"1385",1843,40
"1386",1844,2
"1387",1846,480
"1388",1847,15
"1389",1848,260
"1390",1852,276
"1391",1853,50
"1392",1855,20
"1393",1857,1200
"1394",1859,350
"1395",1861,100
"1396",1862,260
"1397",1863,500
"1398",1864,20
"1399",1865,150
"1400",1866,100
"1401",1867,1040
"1402",1868,25
"1403",1870,50
"1404",1872,60
"1405",1874,30
"1406",1875,72
"1407",1876,1560
"1408",1877,500
"1409",1879,20
"1410",1881,20
"1411",1882,520
"1412",1883,50
"1413",1886,8
"1414",1887,40
"1415",1889,2500
"1416",1890,8
"1417",1892,450
"1418",1894,250
"1419",1895,208
"1420",1899,50
"1421",1900,5337.30568095586
"1422",1901,10
"1423",1902,15
"1424",1905,100
"1425",1906,1200
"1426",1907,1300
"1427",1908,100
"1428",1909,1
"1429",1911,60
"1430",1913,520
"1431",1914,30
"1432",1916,20
"1433",1917,1800
"1434",1918,15
"1435",1919,104
"1436",1920,15
"1437",1921,20
"1438",1922,5
"1439",1923,180
"1440",1924,50
"1441",1925,120
"1442",1926,100
"1443",1928,10
"1444",1929,15
"1445",1930,600
"1446",1932,150
"1447",1933,1000
"1448",1934,300
"1449",1935,10
"1450",1936,4
"1451",1938,300
"1452",1939,240
"1453",1940,1000
"1454",1941,52
"1455",1942,20
"1456",1943,2
"1457",1945,100
"1458",1946,416
"1459",1948,48
"1460",1950,10
"1461",1953,200
"1462",1954,104
"1463",1956,6
"1464",1957,480
"1465",1958,100
"1466",1960,50
"1467",1961,10
"1468",1963,100
"1469",1964,180
"1470",1965,60
"1471",1966,240
"1472",1967,10
"1473",1968,20
"1474",1969,100
"1475",1971,520
"1476",1972,312
"1477",1973,5
"1478",1974,520
"1479",1976,10
"1480",1978,104
"1481",1980,52
"1482",1982,40
"1483",1983,150
"1484",1984,360
"1485",1985,250
"1486",1986,16
"1487",1987,416
"1488",1988,320
"1489",1989,480
"1490",1990,720
"1491",1991,2600
"1492",1992,40
"1493",1993,62
"1494",1994,100
"1495",1995,1040
"1496",1996,100
"1497",1997,10
"1498",1998,15
"1499",1999,520
"1500",2000,30
"1501",2001,20
"1502",2004,150
"1503",2005,15
"1504",2006,25
"1505",2008,50
"1506",2009,208
"1507",2011,15
"1508",2016,400
"1509",2017,20
"1510",2020,10
"1511",2021,50
"1512",2023,1200
"1513",2024,10
"1514",2027,180
"1515",2031,10
"1516",2032,480
"1517",2033,24
"1518",2036,50
"1519",2038,400
"1520",2039,240
"1521",2040,2600
"1522",2041,240
"1523",2042,50
"1524",2043,30
"1525",2044,5337.30568095586
"1526",2045,50
"1527",2047,10
"1528",2049,100
"1529",2050,30
"1530",2051,100
"1531",2053,20
"1532",2055,520
"1533",2057,20
"1534",2058,10
"1535",2059,572
"1536",2060,5
"1537",2061,208
"1538",2065,120
"1539",2066,20
"1540",2067,20
"1541",2068,10
"1542",2069,50
"1543",2070,40
"1544",2075,480
"1545",2076,30
"1546",2078,416
